nl,t,yv,ya,m,ACT,CAP,inv_cost,sc
R12_CHN,coal_adv,1995,1995.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,1995,2000.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,1995,2005.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,1995,2010.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,1995,2015.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,1995,2020.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,1995,2025.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2000,2000.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,2000,2005.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2000,2010.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2000,2015.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2000,2020.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2000,2025.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2005,2005.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,2005,2010.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2005,2015.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2005,2020.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2005,2025.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2005,2030.0,M1,5.0344,9.92,566.82,sv_2c
R12_CHN,coal_adv,2010,2010.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,2010,2015.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2010,2020.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2010,2025.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2010,2030.0,M1,54.875975,108.13000000000001,566.82,sv_2c
R12_CHN,coal_adv,2010,2035.0,M1,51.091425,108.13000000000001,566.82,sv_2c
R12_CHN,coal_adv,2015,2015.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,2015,2020.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2015,2025.0,M1,0.0,,566.82,sv_2c
R12_CHN,coal_adv,2015,2030.0,M1,45.69733,90.04400000000001,566.82,sv_2c
R12_CHN,coal_adv,2015,2035.0,M1,42.545790000000004,90.04400000000001,566.82,sv_2c
R12_CHN,coal_adv,2015,2040.0,M1,0.0,0.0,566.82,sv_2c
R12_CHN,coal_adv,2020,2020.0,M1,0.0,0.0,567.0000000000001,sv_2c
R12_CHN,coal_adv,2020,2025.0,M1,0.0,,567.0000000000001,sv_2c
R12_CHN,coal_adv,2020,2030.0,M1,21.959524999999996,43.269999999999996,567.0000000000001,sv_2c
R12_CHN,coal_adv,2020,2035.0,M1,20.445074999999996,43.269999999999996,567.0000000000001,sv_2c
R12_CHN,coal_adv,2020,2040.0,M1,0.0,0.0,567.0000000000001,sv_2c
R12_CHN,coal_adv,2020,2045.0,M1,0.0,0.0,567.0000000000001,sv_2c
R12_CHN,coal_adv,2025,2025.0,M1,0.0,0.0,567.0000000000001,sv_2c
R12_CHN,coal_adv,2025,2030.0,M1,133.3319225,262.723,567.0000000000001,sv_2c
R12_CHN,coal_adv,2025,2035.0,M1,124.1366175,262.723,567.0000000000001,sv_2c
R12_CHN,coal_adv,2025,2040.0,M1,207.92746697319077,244.62054938022445,567.0000000000001,sv_2c
R12_CHN,coal_adv,2025,2045.0,M1,128.52780359859074,151.2091807042244,567.0000000000001,sv_2c
